Scenario	Year	Policy Goal	Target	Metric	Target_v	Metric_v	Country
REF-	2050	Equity	T_E_FOF	M_E_FOF	1	-1	DNK
REF-	2050	Equity	T_E_CSO	M_E_CSO	1	-1	DNK
REF-	2050	Equity	T_E_CSC	M_E_CSC	1	-1	DNK
REF-	2050	Equity	T_E_PCA	M_E_PCA	1	-1	DNK
REF-	2050	Compet	T_C_VD	M_C_VD	1	0.012006009	DNK
REF-	2050	Compet	T_C_JW	M_C_JW	1	0.727649838	DNK
REF-	2050	Compet	T_C_PRD	M_C_PRD	1	0.101699263	DNK
REF-	2050	Compet	T_C_TRP	M_C_TRP	1	0.859812558	DNK
REF-	2050	Envir	T_EV_CS	M_EV_CS	1	0.01	DNK
REF-	2050	Envir	T_EV_CW	M_EV_CW	1	0.500425106	DNK
REF-	2050	Envir	T_EV_BC	M_EV_BC	1	0.466362942	DNK
REF-	2050	Envir	T_EV_PNR	M_EV_PNR	1	-1	DNK
REF-	2050	Diet	T_D_FBIS	M_D_FBIS	1	0	EU28
REF-	2050	Diet	T_D_NBIS	M_D_NBIS	1	0	EU28
REF-	2050	Diet	T_D_ENBA	M_D_ENBA	1	-1	EU28
REF-	2050	Diet	T_D_DUM	M_D_DUM	1	-1	EU28
REF-	2050	Equity	T_E_FOF	M_E_FOF	1	-1	EU28
REF-	2050	Equity	T_E_CSO	M_E_CSO	1	-1	EU28
REF-	2050	Equity	T_E_CSC	M_E_CSC	1	-1	EU28
REF-	2050	Equity	T_E_PCA	M_E_PCA	1	-1	EU28
REF-	2050	Compet	T_C_VD	M_C_VD	1	0.031508327	EU28
REF-	2050	Compet	T_C_JW	M_C_JW	1	0.765058965	EU28
REF-	2050	Compet	T_C_PRD	M_C_PRD	1	0.215225265	EU28
REF-	2050	Compet	T_C_TRP	M_C_TRP	1	0.876176238	EU28
REF-	2050	Envir	T_EV_CS	M_EV_CS	1	0.019375922	EU28
REF-	2050	Envir	T_EV_CW	M_EV_CW	1	0.186060541	EU28
REF-	2050	Envir	T_EV_BC	M_EV_BC	1	0.505	EU28
REF-	2050	Envir	T_EV_PNR	M_EV_PNR	1	-1	EU28
REF-	2050	Diet	T_D_FBIS	M_D_FBIS	1	0	FRA
REF-	2050	Diet	T_D_NBIS	M_D_NBIS	1	0	FRA
REF-	2050	Diet	T_D_ENBA	M_D_ENBA	1	-1	FRA
REF-	2050	Diet	T_D_DUM	M_D_DUM	1	-1	FRA
REF-	2050	Equity	T_E_FOF	M_E_FOF	1	-1	FRA
REF-	2050	Equity	T_E_CSO	M_E_CSO	1	-1	FRA
REF-	2050	Equity	T_E_CSC	M_E_CSC	1	-1	FRA
REF-	2050	Equity	T_E_PCA	M_E_PCA	1	-1	FRA
REF-	2050	Compet	T_C_VD	M_C_VD	1	0.021906233	FRA
REF-	2050	Compet	T_C_JW	M_C_JW	1	0.763651431	FRA
REF-	2050	Compet	T_C_PRD	M_C_PRD	1	0.181334197	FRA
REF-	2050	Compet	T_C_TRP	M_C_TRP	1	0.861141682	FRA
REF-	2050	Envir	T_EV_CS	M_EV_CS	1	0.106690999	FRA
REF-	2050	Envir	T_EV_CW	M_EV_CW	1	0.584345503	FRA
REF-	2050	Envir	T_EV_BC	M_EV_BC	1	0.505	FRA
REF-	2050	Envir	T_EV_PNR	M_EV_PNR	1	-1	FRA
REF-	2050	Diet	T_D_FBIS	M_D_FBIS	1	0	ITA
REF-	2050	Diet	T_D_NBIS	M_D_NBIS	1	-1	ITA
REF-	2050	Diet	T_D_ENBA	M_D_ENBA	1	-1	ITA
REF-	2050	Diet	T_D_DUM	M_D_DUM	1	-1	ITA
REF-	2050	Equity	T_E_FOF	M_E_FOF	1	-1	ITA
REF-	2050	Equity	T_E_CSO	M_E_CSO	1	-1	ITA
REF-	2050	Equity	T_E_CSC	M_E_CSC	1	-1	ITA
REF-	2050	Equity	T_E_PCA	M_E_PCA	1	-1	ITA
