Scenario,Year,Policy Goal,Target,Metric,Target_v,Metric_v,Country
Business-as-usual outlook,2050,Diets,T_D_ENBA,M_D_ENBA,1,-1,CZE
Business-as-usual outlook,2050,Diets,T_D_DUM,M_D_DUM,1,-1,CZE
Business-as-usual outlook,2050,Equity,T_E_FOF,M_E_FOF,1,-1,CZE
Business-as-usual outlook,2050,Equity,T_E_CSO,M_E_CSO,1,-1,CZE
Business-as-usual outlook,2050,Equity,T_E_CSC,M_E_CSC,1,-1,CZE
Business-as-usual outlook,2050,Equity,T_E_PCA,M_E_PCA,1,-1,CZE
Business-as-usual outlook,2050,Compet,T_C_EPP,M_C_EPP,1,0.314706961,CZE
Business-as-usual outlook,2050,Compet,T_C_OST,M_C_OST,1,0.84826544,CZE
Business-as-usual outlook,2050,Compet,T_C_RPT,M_C_RPT,1,0.361972317,CZE
Business-as-usual outlook,2050,Compet,T_C_DUM,M_C_DUM,1,0.879803777,CZE
Business-as-usual outlook,2050,Envir,T_EV_CS,M_EV_CS,1,0.054517612,CZE
Business-as-usual outlook,2050,Envir,T_EV_CW,M_EV_CW,1,0.261304322,CZE
Business-as-usual outlook,2050,Envir,T_EV_BC,M_EV_BC,1,0.024751683,CZE
Business-as-usual outlook,2050,Envir,T_EV_PNR,M_EV_PNR,1,-1,CZE
Business-as-usual outlook,2050,Diets,T_D_FBIS,M_D_FBIS,1,1.346333669,DNK
Business-as-usual outlook,2050,Diets,T_D_NBIS,M_D_NBIS,1,1.169939117,DNK
Business-as-usual outlook,2050,Diets,T_D_ENBA,M_D_ENBA,1,-1,DNK
Business-as-usual outlook,2050,Diets,T_D_DUM,M_D_DUM,1,-1,DNK
Business-as-usual outlook,2050,Equity,T_E_FOF,M_E_FOF,1,-1,DNK
Business-as-usual outlook,2050,Equity,T_E_CSO,M_E_CSO,1,-1,DNK
Business-as-usual outlook,2050,Equity,T_E_CSC,M_E_CSC,1,-1,DNK
Business-as-usual outlook,2050,Equity,T_E_PCA,M_E_PCA,1,-1,DNK
Business-as-usual outlook,2050,Compet,T_C_EPP,M_C_EPP,1,0.295416335,DNK
Business-as-usual outlook,2050,Compet,T_C_OST,M_C_OST,1,0.912504018,DNK
Business-as-usual outlook,2050,Compet,T_C_RPT,M_C_RPT,1,0.06964697,DNK
Business-as-usual outlook,2050,Compet,T_C_DUM,M_C_DUM,1,0.863761604,DNK
Business-as-usual outlook,2050,Envir,T_EV_CS,M_EV_CS,1,0.114711571,DNK
Business-as-usual outlook,2050,Envir,T_EV_CW,M_EV_CW,1,0.267444689,DNK
Business-as-usual outlook,2050,Envir,T_EV_BC,M_EV_BC,1,0.020862589,DNK
Business-as-usual outlook,2050,Envir,T_EV_PNR,M_EV_PNR,1,-1,DNK
Business-as-usual outlook,2050,Diets,T_D_FBIS,M_D_FBIS,1,1.512642256,FRA
Business-as-usual outlook,2050,Diets,T_D_NBIS,M_D_NBIS,1,1.181500263,FRA
Business-as-usual outlook,2050,Diets,T_D_ENBA,M_D_ENBA,1,-1,FRA
Business-as-usual outlook,2050,Diets,T_D_DUM,M_D_DUM,1,-1,FRA
Business-as-usual outlook,2050,Equity,T_E_FOF,M_E_FOF,1,-1,FRA
Business-as-usual outlook,2050,Equity,T_E_CSO,M_E_CSO,1,-1,FRA
Business-as-usual outlook,2050,Equity,T_E_CSC,M_E_CSC,1,-1,FRA
Business-as-usual outlook,2050,Equity,T_E_PCA,M_E_PCA,1,-1,FRA
Business-as-usual outlook,2050,Compet,T_C_EPP,M_C_EPP,1,0.275081197,FRA
Business-as-usual outlook,2050,Compet,T_C_OST,M_C_OST,1,0.818273932,FRA
Business-as-usual outlook,2050,Compet,T_C_RPT,M_C_RPT,1,0.183357358,FRA
Business-as-usual outlook,2050,Compet,T_C_DUM,M_C_DUM,1,0.865709424,FRA
Business-as-usual outlook,2050,Envir,T_EV_CS,M_EV_CS,1,0.740533083,FRA
Business-as-usual outlook,2050,Envir,T_EV_CW,M_EV_CW,1,1,FRA
Business-as-usual outlook,2050,Envir,T_EV_BC,M_EV_BC,1,0.024822435,FRA
Business-as-usual outlook,2050,Envir,T_EV_PNR,M_EV_PNR,1,-1,FRA
Business-as-usual outlook,2050,Diets,T_D_FBIS,M_D_FBIS,1,1.581207951,ITA
Business-as-usual outlook,2050,Diets,T_D_NBIS,M_D_NBIS,1,1.199545784,ITA
Business-as-usual outlook,2050,Diets,T_D_ENBA,M_D_ENBA,1,-1,ITA
Business-as-usual outlook,2050,Diets,T_D_DUM,M_D_DUM,1,-1,ITA
Business-as-usual outlook,2050,Equity,T_E_FOF,M_E_FOF,1,-1,ITA
Business-as-usual outlook,2050,Equity,T_E_CSO,M_E_CSO,1,-1,ITA
